Month,Total_Applications,Total_Funded_Amount,Total_Amount_Received,Avg_Interest_Rate
2021-01,2332,25031650.0,27578836.0,11.4618867924528
2021-02,2279,24647825.0,27717745.0,11.7216322948662
2021-03,2627,28875700.0,32264400.0,11.8582908260374
2021-04,2755,29800800.0,32495533.0,11.7409074410164
2021-05,2911,31738350.0,33750523.0,12.257794572312
2021-06,3184,34161475.0,36164533.0,12.2742430904523
2021-07,3366,35813900.0,38827220.0,12.2372370766489
2021-08,3441,38149600.0,42682218.0,12.3002353966871
2021-09,3536,40907725.0,43983948.0,12.0032324660633
2021-10,3796,44893800.0,49399567.0,12.0241227608007
2021-11,4035,47754825.0,50132030.0,11.9417174721188
2021-12,4314,53981425.0,58074380.0,12.3560407974036
