State,Total_Applications,Total_Funded_Amount,Total_Amount_Received,Avg_Interest_Rate,Default_Rate
CA,6894,78484125.0,83901234.0,12.1482245430809,15.3321729039745
NY,3701,42077050.0,46108181.0,12.1143474736557,12.6452310186436
FL,2773,30046125.0,31601905.0,11.978117562207,17.273710782546
TX,2664,31236650.0,34392715.0,12.0470307807808,11.2987987987988
NJ,1822,21657475.0,23425159.0,12.2350768386389,14.9835345773875
IL,1486,17124225.0,18875941.0,12.0541386271871,12.9205921938089
PA,1482,15826525.0,17462908.0,11.6906072874494,11.4035087719298
VA,1375,15982650.0,17711443.0,12.2175127272727,12.3636363636364
GA,1355,15480325.0,16728040.0,11.9620442804428,15.2767527675277
MA,1310,15051000.0,16676279.0,11.8714732824428,11.4503816793893
OH,1188,12991375.0,14330148.0,12.0244949494949,12.1212121212121
MD,1027,11911400.0,12985170.0,12.4915774099318,15.0925024342746
AZ,833,9206000.0,10041986.0,12.2431452581033,13.5654261704682
WA,805,8855525.0,9531739.0,12.2630931677019,14.6583850931677
CO,770,8976000.0,9845810.0,11.815025974026,11.8181818181818
NC,759,8787575.0,9534813.0,12.1220685111989,14.2292490118577
CT,730,8435575.0,9357612.0,11.9100821917808,12.0547945205479
MI,685,7829900.0,8543660.0,12.0066131386861,14.014598540146
MO,660,7151175.0,7692732.0,11.7235757575757,15.7575757575758
MN,592,6302600.0,6750746.0,11.6876351351351,13.1756756756757
NV,482,5307375.0,5451443.0,12.5403734439834,20.954356846473
SC,464,5080475.0,5462458.0,11.8348275862069,13.7931034482759
WI,446,5070450.0,5485161.0,12.0678475336323,13.2286995515695
OR,436,4720150.0,4966903.0,11.9970412844037,15.5963302752294
AL,432,4949225.0,5492272.0,11.8594444444445,11.3425925925926
LA,426,4498900.0,5001160.0,11.7322535211268,12.2065727699531
KY,320,3504100.0,3792530.0,11.8975625,13.75
OK,293,3365725.0,3712649.0,11.8953242320819,13.6518771331058
KS,260,2872325.0,3247394.0,11.8186153846154,10.0
UT,252,2849225.0,2952412.0,11.9757142857143,15.4761904761905
AR,236,2529700.0,2777875.0,11.755720338983,11.0169491525424
DC,214,2652350.0,2921854.0,12.0467289719626,7.00934579439252
RI,196,1883025.0,2001774.0,11.8651530612245,12.7551020408163
NM,183,1916775.0,2084485.0,11.6613114754098,15.8469945355191
HI,170,1850525.0,2080184.0,12.5938235294118,16.4705882352941
WV,167,1830525.0,1991936.0,11.7252694610778,11.9760479041916
NH,161,1917900.0,2101386.0,11.7891304347826,14.2857142857143
DE,110,1138100.0,1269136.0,11.9956363636364,10.0
MT,79,829525.0,892047.0,12.0764556962025,12.6582278481013
WY,79,890750.0,1046050.0,12.5240506329114,3.79746835443038
AK,78,1031800.0,1108570.0,12.7915384615385,19.2307692307692
SD,63,606150.0,656514.0,11.4314285714286,17.4603174603175
VT,54,504100.0,534973.0,11.2231481481481,11.1111111111111
MS,19,139125.0,149342.0,11.79,10.5263157894737
TN,17,162175.0,141522.0,10.5611764705882,11.7647058823529
IN,9,86225.0,85521.0,10.8011111111111,0.0
ID,6,59750.0,65329.0,11.5116666666667,16.6666666666667
IA,5,56450.0,64482.0,8.974,0.0
NE,5,31700.0,24542.0,11.814,60.0
ME,3,9200.0,10808.0,10.4866666666667,0.0
